draft_id	batch_file	stem_html_json
AY26-B012-RENAL-ADPKD-001	batch-012-11-autosomal-dominant-polycystic-kidney-disease.json	"<p>A 43-year-old man with hypertension develops intermittent flank discomfort and gross hematuria after minor exercise. Imaging shows bilaterally enlarged kidneys containing numerous cysts and several hepatic cysts. His mother required dialysis at age 61, and his older sister survived rupture of an intracranial aneurysm.</p><p><strong>Which additional lesion is this patient at increased risk of harboring?</strong></p>"
AY26-B012-ENDO-PHEO-001	batch-012-12-pheochromocytoma.json	"<p>A 37-year-old woman has recurrent episodes of pounding headache, palpitations, diaphoresis, and tremulousness. During one episode her blood pressure is 228/116 mm Hg. Plasma free metanephrines are elevated, and MRI reveals a 3-cm adrenal medullary mass. Surgery is planned after medical preparation.</p><p><strong>Which medication sequence is most appropriate before tumor removal?</strong></p>"
AY26-B012-ID-TOXO-001	batch-012-13-cerebral-toxoplasmosis.json	"<p>A 41-year-old man with untreated HIV infection presents with headache, fever, confusion, and left-arm weakness. His CD4 count is 38/mm3. MRI shows several ring-enhancing lesions in the basal ganglia with surrounding edema. Toxoplasma IgG is positive. He improves after pyrimethamine, sulfadiazine, and leucovorin.</p><p><strong>Which process most likely produced these brain lesions?</strong></p>"
AY26-B012-GI-CHOLECYSTITIS-001	batch-012-14-acute-calculous-cholecystitis.json	"<p>A 45-year-old woman develops constant right upper-quadrant pain, fever, and nausea several hours after a fatty meal. Examination shows inspiratory arrest during deep palpation below the right costal margin. Ultrasound demonstrates a stone lodged at the gallbladder neck, wall thickening, pericholecystic fluid, and a sonographic Murphy sign. The common bile duct is not dilated.</p><p><strong>Which event most directly initiates this inflammatory process?</strong></p>"
AY26-B012-HEME-BETA-THAL-001	batch-012-15-beta-thalassemia.json	"<p>A 19-year-old man of Mediterranean ancestry is evaluated for chronic fatigue. Hemoglobin is 10.8 g/dL, MCV is 64 fL, ferritin is normal, and the erythrocyte count is relatively high for the hemoglobin level. The smear shows target cells and basophilic stippling. Hemoglobin electrophoresis shows increased HbA2 and mildly increased HbF.</p><p><strong>Which cellular abnormality is chiefly responsible for his anemia?</strong></p>"
AY26-B012-REPRO-PREECLAMPSIA-001	batch-012-16-preeclampsia.json	"<p>A previously normotensive 29-year-old primigravida at 31 weeks has blood pressure readings of 166/104 and 162/102 mm Hg, new proteinuria, headache, and elevated liver transaminases. Doppler assessment earlier in pregnancy showed high-resistance uterine arterial flow. Laboratory testing demonstrates increased soluble fms-like tyrosine kinase 1.</p><p><strong>Which placental abnormality initiated the maternal syndrome?</strong></p>"
AY26-B012-HEME-APLASTIC-001	batch-012-17-aplastic-anemia.json	"<p>A 28-year-old laboratory technician reports progressive fatigue, recurrent mouth ulcers, and easy bruising. CBC shows pancytopenia with a very low reticulocyte count. There is no lymphadenopathy or splenomegaly. Bone-marrow biopsy is markedly hypocellular and largely replaced by fat; no malignant infiltrate or fibrosis is seen.</p><p><strong>Which mechanism most commonly underlies acquired idiopathic disease of this type?</strong></p>"
AY26-B012-ID-SYPHILIS-001	batch-012-18-primary-syphilis.json	"<p>A 27-year-old man presents with a solitary painless penile ulcer and rubbery, nontender inguinal lymph nodes. Dark-field examination of ulcer fluid reveals thin motile spirochetes. The lesion resolves without treatment, but serologic testing is positive.</p><p><strong>Which histopathologic process is most characteristic of this lesion?</strong></p>"
AY26-B012-CV-ASD-001	batch-012-19-atrial-septal-defect.json	"<p>A 26-year-old woman is evaluated after a soft systolic ejection murmur is noted at the left upper sternal border. She has normal oxygen saturation and no cyanosis. The second heart sound is widely split and changes little with respiration. Echocardiography shows a secundum atrial septal defect with left-to-right flow and right ventricular enlargement.</p><p><strong>Why is the splitting of the second heart sound relatively fixed?</strong></p>"
AY26-B012-CV-AORTIC-REGURG-001	batch-012-20-aortic-regurgitation.json	"<p>A 48-year-old man with infective endocarditis develops a new high-pitched early diastolic murmur along the left sternal border. His pulse is bounding, and blood pressure is 158/48 mm Hg. Echocardiography shows severe aortic regurgitation and acute left ventricular volume overload. A pressure-volume loop is constructed.</p><p><strong>Which change is most characteristic of the loop in this patient?</strong></p>"
AY26-B013-CV-TOF-001	batch-013-01-tetralogy-of-fallot.json	"<p>A 3-year-old boy with a harsh systolic murmur becomes deeply cyanotic and tachypneic while crying. He instinctively squats and improves within minutes. Echocardiography shows a ventricular septal defect, an overriding aorta, right ventricular hypertrophy, and severe infundibular pulmonary stenosis.</p><p><strong>How does squatting improve this episode?</strong></p>"
AY26-B013-CV-MITRAL-STENOSIS-001	batch-013-02-mitral-stenosis.json	"<p>A 42-year-old woman who emigrated from a region with limited access to antibiotics has progressive exertional dyspnea and occasional palpitations. Auscultation reveals a loud S1, an opening snap, and a low-pitched diastolic rumble at the apex. Echocardiography shows thickened commissurally fused mitral leaflets and marked left atrial enlargement.</p><p><strong>Which hemodynamic abnormality is most directly responsible for her pulmonary symptoms?</strong></p>"
AY26-B013-GI-CELIAC-001	batch-013-03-celiac-disease.json	"<p>A 30-year-old woman has chronic bloating, loose stools, iron deficiency, and an intensely pruritic vesicular eruption on the extensor surfaces of her elbows. Duodenal biopsy demonstrates villous atrophy, crypt hyperplasia, and increased intraepithelial lymphocytes. Symptoms improve after eliminating wheat, barley, and rye.</p><p><strong>Which molecular event is central to the intestinal immune response?</strong></p>"
AY26-B013-GI-WILSON-001	batch-013-04-wilson-disease.json	"<p>A 19-year-old college student develops tremor, personality change, and jaundice. Slit-lamp examination reveals brown rings at the corneal periphery. Serum ceruloplasmin is low, and 24-hour urinary copper excretion is elevated. Liver biopsy shows increased copper.</p><p><strong>Which transport defect causes this disorder?</strong></p>"
AY26-B013-MSK-RA-001	batch-013-05-rheumatoid-arthritis.json	"<p>A 46-year-old woman has 8 months of symmetric pain and swelling in the metacarpophalangeal and proximal interphalangeal joints. Morning stiffness lasts 2 hours. Examination shows boggy synovitis, and radiographs reveal periarticular osteopenia and marginal erosions. Synovial biopsy demonstrates proliferative granulation tissue extending over articular cartilage.</p><p><strong>Which process most directly produces the marginal bone erosions?</strong></p>"
AY26-B013-IMM-SLE-001	batch-013-06-systemic-lupus-erythematosus.json	"<p>A 25-year-old woman has photosensitive facial erythema, oral ulcers, inflammatory hand pain, and edema. Urinalysis shows protein and red-cell casts. Antinuclear and anti-double-stranded DNA antibodies are positive, and serum C3 and C4 are low. Kidney biopsy shows granular capillary-wall and mesangial immunofluorescence.</p><p><strong>Which immune mechanism best explains the renal lesion?</strong></p>"
AY26-B013-NEURO-MS-001	batch-013-07-multiple-sclerosis.json	"<p>A 28-year-old woman has painful loss of vision in one eye that improves over several weeks. Eight months later she develops diplopia; examination shows impaired adduction of the left eye with nystagmus of the abducting right eye. MRI reveals periventricular ovoid lesions, and cerebrospinal fluid contains oligoclonal IgG bands.</p><p><strong>Which cellular target is primarily damaged in this disorder?</strong></p>"
AY26-B013-CV-WPW-001	batch-013-08-wolff-parkinson-white-syndrome.json	"<p>A 20-year-old man has sudden episodes of rapid regular palpitations. Between episodes, ECG shows a short PR interval, a slurred initial upstroke of the QRS complex, and a mildly widened QRS. An electrophysiology diagram shows a muscular connection between atrium and ventricle outside the atrioventricular node.</p><p><strong>Which property of this connection creates the baseline ECG pattern?</strong></p>"
AY26-B013-REPRO-TORSION-001	batch-013-09-testicular-torsion.json	"<p>A 15-year-old boy awakens with sudden severe left scrotal pain and vomiting. The left testis is high-riding and horizontally oriented, and the cremasteric reflex is absent. Doppler ultrasonography shows markedly reduced intratesticular flow. Emergency exploration confirms twisting of the spermatic cord.</p><p><strong>Which pathologic sequence occurs first after torsion?</strong></p>"
AY26-B013-ENDO-HYPERPARA-001	batch-013-10-primary-hyperparathyroidism.json	"<p>A 54-year-old woman has nephrolithiasis, constipation, and diffuse bone discomfort. Calcium is 11.7 mg/dL, phosphate is low, and parathyroid hormone is elevated. Hand radiographs show subperiosteal bone resorption. Bone biopsy demonstrates increased osteoclast activity.</p><p><strong>How does excess parathyroid hormone stimulate the osteoclasts?</strong></p>"
AY26-B013-ENDO-CUSHING-001	batch-013-11-cushing-syndrome.json	"<p>A 38-year-old woman has progressive proximal weakness, easy bruising, wide violaceous abdominal striae, and new diabetes. Blood pressure is 172/98 mm Hg and potassium is low. Testing confirms marked cortisol excess from an adrenal cortical tumor with suppressed ACTH.</p><p><strong>Which mechanism contributes most directly to her hypertension and hypokalemia?</strong></p>"
AY26-B013-RENAL-ANTIGBM-001	batch-013-12-anti-gbm-disease.json	"<p>A 24-year-old man develops hemoptysis, fatigue, and rapidly rising creatinine after a respiratory infection. Urinalysis shows dysmorphic red cells and red-cell casts. Kidney biopsy demonstrates crescent formation, and immunofluorescence shows smooth linear IgG staining along glomerular capillary loops.</p><p><strong>Which antigen is targeted by the pathogenic antibody?</strong></p>"
AY26-B013-IMM-GPA-001	batch-013-13-granulomatosis-with-polyangiitis.json	"<p>A 47-year-old man has recurrent sinus pain, bloody nasal discharge, cough with hemoptysis, and hematuria. CT shows cavitary pulmonary nodules. Creatinine is elevated, and urinalysis reveals red-cell casts. Proteinase-3 ANCA is strongly positive. Kidney immunofluorescence shows little or no immune deposition.</p><p><strong>Which histologic finding is most characteristic outside the kidney?</strong></p>"
AY26-B013-GI-MECKEL-001	batch-013-14-meckel-diverticulum.json	"<p>A 6-year-old boy has recurrent episodes of painless maroon-colored stool. He is afebrile and has no abdominal tenderness. Hemoglobin is low. A technetium-99m pertechnetate scan shows a focus of uptake in the right lower abdomen that appears at the same time as the stomach.</p><p><strong>Which process most directly causes the intestinal bleeding?</strong></p>"
AY26-B013-NEURO-GBS-001	batch-013-15-guillain-barre-syndrome.json	"<p>A 33-year-old man develops tingling in his feet followed by symmetric ascending weakness 10 days after a diarrheal illness. Deep-tendon reflexes are absent. Cerebrospinal fluid has elevated protein with only 2 leukocytes/mm3. Nerve-conduction studies show slowed velocity and conduction block.</p><p><strong>Which mechanism most likely initiated this neurologic disorder?</strong></p>"
AY26-B013-GEN-FRAGILEX-001	batch-013-16-fragile-x-syndrome.json	"<p>An 8-year-old boy is evaluated for intellectual disability, social anxiety, hand flapping, and poor eye contact. Examination shows a long narrow face, prominent ears, and enlarged testes. His maternal uncle has similar cognitive impairment. Molecular testing demonstrates a large CGG expansion in the 5-prime untranslated region of a gene on the X chromosome.</p><p><strong>How does the full mutation reduce gene expression?</strong></p>"
AY26-B013-CV-LONGQT-001	batch-013-17-congenital-long-qt-syndrome.json	"<p>A 14-year-old girl collapses while swimming and spontaneously regains consciousness. Her mother has had unexplained syncope, and a maternal cousin died suddenly at age 18. ECG shows a corrected QT interval of 520 ms. Genetic testing identifies a loss-of-function variant in KCNQ1.</p><p><strong>Which action-potential change results from this mutation?</strong></p>"
AY26-B013-GEN-TSC-001	batch-013-18-tuberous-sclerosis-complex.json	"<p>A 7-year-old girl has seizures, developmental delay, hypopigmented ash-leaf macules, facial angiofibromas, and a shagreen patch. Brain MRI shows cortical tubers, and renal imaging shows bilateral angiomyolipomas. Genetic testing reveals loss of function in TSC2.</p><p><strong>Which signaling abnormality promotes these lesions?</strong></p>"
AY26-B013-GI-WHIPPLE-001	batch-013-19-whipple-disease.json	"<p>A 50-year-old man has years of migratory arthralgias followed by weight loss, diarrhea, and abdominal distention. Small-bowel biopsy shows villi expanded by foamy macrophages containing periodic acid-Schiff-positive, acid-fast-negative material. Electron microscopy reveals bacillary structures within macrophages.</p><p><strong>Which organism is the most likely cause?</strong></p>"
AY26-B013-IMM-RHEUMATIC-001	batch-013-20-acute-rheumatic-fever.json	"<p>An 11-year-old boy develops fever, migratory pain and swelling of large joints, a new apical holosystolic murmur, and purposeless movements 3 weeks after an untreated sore throat. Antistreptolysin O and anti-DNase B titers are elevated. Blood cultures are negative.</p><p><strong>Which immune process best explains this syndrome?</strong></p>"
